UImage,LImage,AF_rep,AM_rep,CF_rep,CM_rep,Upper_Image,Lower_Image,TrailType,TrialType,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,BlockTrail.thisRepN,BlockTrail.thisTrialN,BlockTrail.thisN,BlockTrail.thisIndex,AF_Loop.thisRepN,AF_Loop.thisTrialN,AF_Loop.thisN,AF_Loop.thisIndex,AM_Loop.thisRepN,AM_Loop.thisTrialN,AM_Loop.thisN,AM_Loop.thisIndex,CF_Loop.thisRepN,CF_Loop.thisTrialN,CF_Loop.thisN,CF_Loop.thisIndex,CM_Loop.thisRepN,CM_Loop.thisTrialN,CM_Loop.thisN,CM_Loop.thisIndex,AFcondition_file,AMcondition_file,CFcondition_file,CMcondition_file,InstrText.started,InstrText.stopped,InstrKey.keys,InstrKey.rt,InstrKey.started,InstrKey.stopped,Fixation0.started,Fixation0.stopped,Upper_image.started,Upper_image.stopped,Lower_image.started,Lower_image.stopped,PracMouse.x,PracMouse.y,PracMouse.leftButton,PracMouse.midButton,PracMouse.rightButton,PracMouse.clicked_name,PracMouse.clicked_pos,PracMouse.started,PracMouse.stopped,BlankTest.started,BlankTest.stopped,BreakText.started,BreakText.stopped,Prac_Key.keys,Prac_Key.rt,Prac_Key.started,Prac_Key.stopped,Fixation4.started,Fixation4.stopped,CM_image_1.started,CM_image_1.stopped,CM_image_2.started,CM_image_2.stopped,CMMouse.x,CMMouse.y,CMMouse.leftButton,CMMouse.midButton,CMMouse.rightButton,CMMouse.clicked_name,CMMouse.clicked_pos,CMMouse.started,CMMouse.stopped,Fixation2.started,Fixation2.stopped,AM_image_1.started,AM_image_1.stopped,AM_imgae_2.started,AM_imgae_2.stopped,AMMouse.x,AMMouse.y,AMMouse.leftButton,AMMouse.midButton,AMMouse.rightButton,AMMouse.started,AMMouse.stopped,participant,gender,age,session,date,expName,psychopyVersion,frameRate,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_04_250.png,materials/Caucasian/Male/S_C_M_04_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,49.58455982299347,None,,,,,,,47.23376339999959,47.734729706993676,47.734729706993676,None,47.734729706993676,None,0.004861111111111111,0.12083333333333333,1,0,0,CM_image_1,[0.   0.16],0.5117474746803055,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_06_250.png,materials/Caucasian/Male/S_C_M_06_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,51.48459680499218,None,,,,,,,50.08377940500213,50.584523557990906,50.584523557990906,None,50.584523557990906,None,0.04513888888888889,-0.17708333333333334,1,0,0,CM_image_2,[ 0.   -0.16],0.5124361376801971,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_10_250.png,materials/Caucasian/Male/S_C_M_10_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,54.30139581300318,None,,,,,,,51.98506144399289,52.48487371200463,52.48487371200463,None,52.48487371200463,None,0.003472222222222222,0.15069444444444444,1,0,0,CM_image_1,[0.   0.16],0.5120635416533332,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_08_250.png,materials/Caucasian/Male/S_C_M_08_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,56.23486238899932,None,,,,,,,54.80166152700258,55.301598958991235,55.301598958991235,None,55.301598958991235,None,-0.0006944444444444445,-0.1673611111111111,1,0,0,CM_image_2,[ 0.   -0.16],0.5126200216618599,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/L_C_M_10_270.png,materials/Caucasian/Male/S_C_M_10_250.png,DLU,,,,,,0,0,0,3,,,,,,,,,,,,,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,57.76806638400012,None,,,,,,,56.73569535899151,57.234669569996186,57.234669569996186,None,57.234669569996186,None,0.0,0.1736111111111111,1,0,0,CM_image_1,[0.   0.16],0.5122885486634914,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_02_250.png,materials/Caucasian/Male/S_C_M_02_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,59.56863295199582,None,,,,,,,58.26740890300425,58.768507857996156,58.768507857996156,None,58.768507857996156,None,-0.024305555555555556,-0.15625,1,0,0,CM_image_2,[ 0.   -0.16],0.5134847556764726,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_09_250.png,materials/Caucasian/Male/S_C_M_09_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,61.35180098400451,None,,,,,,,60.0694803899969,60.567988462993526,60.567988462993526,None,60.567988462993526,None,0.008333333333333333,-0.17222222222222222,1,0,0,CM_image_2,[ 0.   -0.16],0.511607793654548,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/L_C_M_04_270.png,materials/Caucasian/Male/S_C_M_04_250.png,DLU,,,,,,0,0,0,3,,,,,,,,,,,,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,64.35208719900402,None,,,,,,,61.852925733997836,62.35199138900498,62.35199138900498,None,62.35199138900498,None,0.004861111111111111,0.1423611111111111,1,0,0,CM_image_1,[0.   0.16],0.512455404677894,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_06_250.png,materials/Caucasian/Male/L_C_M_06_270.png,DLD,,,,,,0,0,0,3,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,66.03568200400332,None,,,,,,,64.86891891399864,65.36882795499696,65.35209669100004,None,65.35209669100004,None,0.006944444444444444,-0.1326388888888889,1,0,0,CM_image_2,[ 0.   -0.16],0.5097820316732395,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_05_250.png,materials/Caucasian/Male/S_C_M_05_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,68.73585237399675,None,,,,,,,66.53633630200056,67.03578857399407,67.03578857399407,None,67.03578857399407,None,0.001388888888888889,-0.20902777777777778,1,0,0,CM_image_2,[ 0.   -0.16],0.5127369286783505,None,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,0,0,1,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/L_A_M_06_270.png,materials/Asian/Male/S_A_M_06_250.png,,DLU,,,,,0,1,1,1,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.73586828699626,None,,,,,,,,,,,,,,,,,,,,,,69.25240661099087,69.75234361899493,69.73585606900451,None,69.73585606900451,None,0.009027777777777777,0.17708333333333334,0,0,0,0.5058530183450785,0.5058530183450785,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_07_250.png,materials/Asian/Male/S_A_M_07_250.png,,S,,,,,0,1,1,1,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73595975799253,None,,,,,,,,,,,,,,,,,,,,,,73.23638371199195,73.7359422879963,73.7359422879963,None,73.7359422879963,None,-0.005555555555555556,0.12083333333333333,0,0,0,0.5124850246647839,0.5124850246647839,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_09_250.png,materials/Asian/Male/L_A_M_09_270.png,,DLD,,,,,0,1,1,1,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.73622193899064,None,,,,,,,,,,,,,,,,,,,,,,77.23684777099697,77.73618533900299,77.73618533900299,None,77.73618533900299,None,-0.03958333333333333,-0.12569444444444444,0,0,0,0.5131867176678497,0.5131867176678497,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_03_250.png,materials/Asian/Male/S_A_M_03_250.png,,S,,,,,0,1,1,1,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.73634821499581,None,,,,,,,,,,,,,,,,,,,,,,81.23712958299438,81.73630994900304,81.73630994900304,None,81.73630994900304,None,-0.19791666666666666,-0.16458333333333333,0,0,0,0.5130715726554627,0.5130715726554627,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_08_250.png,materials/Asian/Male/S_A_M_08_250.png,,S,,,,,0,1,1,1,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.73687901999801,None,,,,,,,,,,,,,,,,,,,,,,85.23689575800381,85.73666625299666,85.73666625299666,None,85.73666625299666,None,-0.015277777777777777,0.0125,0,0,0,0.5130041136726504,0.5130041136726504,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,0,1,0,0,materials/Asian/Male/S_A_M_05_250.png,materials/Asian/Male/S_A_M_05_250.png,,S,,,,,0,1,1,1,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.73706864399719,None,,,,,,,,,,,,,,,,,,,,,,89.23753076599678,89.73689543899673,89.73689543899673,None,89.73689543899673,None,0.03680555555555556,-0.1840277777777778,0,0,0,0.5132702046685154,0.5132702046685154,999,,,001,2020_Jun_13_1759,FatFace,2020.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.23773465999693,93.75361810499453,93.71999160500127,None,93.71999160500127,None,-0.0020833333333333333,0.13680555555555557,0,0,0,0.5128335886547575,0.5128335886547575,,,,,,,,,
