UImage,LImage,AF_rep,AM_rep,CF_rep,CM_rep,Upper_Image,Lower_Image,TrailType,TrialType,Prac_Loop.thisRepN,Prac_Loop.thisTrialN,Prac_Loop.thisN,Prac_Loop.thisIndex,BlockTrail.thisRepN,BlockTrail.thisTrialN,BlockTrail.thisN,BlockTrail.thisIndex,AF_Loop.thisRepN,AF_Loop.thisTrialN,AF_Loop.thisN,AF_Loop.thisIndex,AM_Loop.thisRepN,AM_Loop.thisTrialN,AM_Loop.thisN,AM_Loop.thisIndex,CF_Loop.thisRepN,CF_Loop.thisTrialN,CF_Loop.thisN,CF_Loop.thisIndex,CM_Loop.thisRepN,CM_Loop.thisTrialN,CM_Loop.thisN,CM_Loop.thisIndex,AFcondition_file,AMcondition_file,CFcondition_file,CMcondition_file,InstrText.started,InstrText.stopped,InstrKey.keys,InstrKey.rt,InstrKey.started,InstrKey.stopped,Fixation0.started,Fixation0.stopped,Upper_image.started,Upper_image.stopped,Lower_image.started,Lower_image.stopped,PracMouse.x,PracMouse.y,PracMouse.leftButton,PracMouse.midButton,PracMouse.rightButton,PracMouse.clicked_name,PracMouse.clicked_pos,PracMouse.started,PracMouse.stopped,BlankTest.started,BlankTest.stopped,BreakText.started,BreakText.stopped,Prac_Key.keys,Prac_Key.rt,Prac_Key.started,Prac_Key.stopped,Fixation4.started,Fixation4.stopped,CM_image_1.started,CM_image_1.stopped,CM_image_2.started,CM_image_2.stopped,CMMouse.x,CMMouse.y,CMMouse.leftButton,CMMouse.midButton,CMMouse.rightButton,CMMouse.clicked_name,CMMouse.clicked_pos,CMMouse.started,CMMouse.stopped,Fixation2.started,Fixation2.stopped,AM_image_1.started,AM_image_1.stopped,AM_imgae_2.started,AM_imgae_2.stopped,AMMouse.x,AMMouse.y,AMMouse.leftButton,AMMouse.midButton,AMMouse.rightButton,AMMouse.started,AMMouse.stopped,Fixation.started,Fixation.stopped,AF_image_1.started,AF_image_1.stopped,AF_image_2.started,AF_image_2.stopped,AFMouse.x,AFMouse.y,AFMouse.leftButton,AFMouse.midButton,AFMouse.rightButton,AFMouse.clicked_name,AFMouse.clicked_pos,AFMouse.started,AFMouse.stopped,Fixation3.started,Fixation3.stopped,CF_image_1.started,CF_image_1.stopped,CF_image_2.started,CF_image_2.stopped,CFMouse.x,CFMouse.y,CFMouse.leftButton,CFMouse.midButton,CFMouse.rightButton,CFMouse.clicked_name,CFMouse.clicked_pos,CFMouse.started,CFMouse.stopped,text.started,text.stopped,participant,gender,age,session,date,expName,psychopyVersion,frameRate,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_05_250.png,materials/Caucasian/Male/S_C_M_05_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,42.80510807099927,None,,,,,,,41.72246617800556,42.23815679200925,42.22143472499738,None,42.22143472499738,None,-0.002777777777777778,-0.13541666666666666,1,0,0,CM_image_2,[ 0.   -0.16],0.512213445676025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/L_C_M_04_270.png,materials/Caucasian/Male/S_C_M_04_250.png,DLU,,,,,,0,0,0,3,,,,,,,,,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,44.388220763008576,None,,,,,,,43.30595897400053,43.80507374499575,43.80507374499575,None,43.80507374499575,None,0.001388888888888889,-0.10972222222222222,1,0,0,CM_image_2,[ 0.   -0.16],0.5125915266689844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_06_250.png,materials/Caucasian/Male/L_C_M_06_270.png,DLD,,,,,,0,0,0,3,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,47.2045707530051,None,,,,,,,44.88913955099997,45.38857254199684,45.38857254199684,None,45.38857254199684,None,0.011111111111111112,0.14305555555555555,1,0,0,CM_image_1,[0.   0.16],0.5125015196535969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_02_250.png,materials/Caucasian/Male/S_C_M_02_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,48.90569219800818,None,,,,,,,47.70591056300327,48.205321785004344,48.205321785004344,None,48.205321785004344,None,-0.003472222222222222,-0.1326388888888889,1,0,0,CM_image_2,[ 0.   -0.16],0.5136837296595331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_10_250.png,materials/Caucasian/Male/S_C_M_10_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,50.50571752800897,None,,,,,,,49.42419160400459,49.93918010000198,49.90595041999768,None,49.90595041999768,None,0.0,-0.10486111111111111,1,0,0,CM_image_2,[ 0.   -0.16],0.5106159756542183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_09_250.png,materials/Caucasian/Male/S_C_M_09_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,52.93903272500029,None,,,,,,,51.00646455900278,51.50549190399761,51.50549190399761,None,51.50549190399761,None,0.0125,0.15138888888888888,1,0,0,CM_image_1,[0.   0.16],0.5119689716666471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_07_250.png,materials/Caucasian/Male/S_C_M_07_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,55.45544490100292,None,,,,,,,53.439765643008286,53.93903005000902,53.93903005000902,None,53.93903005000902,None,-0.024305555555555556,0.13472222222222222,1,0,0,CM_image_1,[0.   0.16],0.5128663696668809,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_01_250.png,materials/Caucasian/Male/S_C_M_01_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,57.072479709007894,None,,,,,,,55.95653199600929,56.45590177300619,56.45590177300619,None,56.45590177300619,None,-0.007638888888888889,-0.14166666666666666,1,0,0,CM_image_2,[ 0.   -0.16],0.5119887266628211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_08_250.png,materials/Caucasian/Male/S_C_M_08_250.png,S,,,,,,0,0,0,3,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,58.90599893500621,None,,,,,,,57.573598093003966,58.072546597002656,58.072546597002656,None,58.072546597002656,None,-0.00625,-0.13472222222222222,1,0,0,CM_image_2,[ 0.   -0.16],0.5114698976685759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
,,0,0,0,1,materials/Caucasian/Male/S_C_M_08_250.png,materials/Caucasian/Male/L_C_M_08_270.png,DLD,,,,,,0,0,0,3,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,61.08905855700141,None,,,,,,,59.40651230899675,59.90597781100951,59.90597781100951,None,59.90597781100951,None,0.011805555555555555,0.11319444444444444,1,0,0,CM_image_1,[0.   0.16],0.5132643836695934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,001,2020_Jun_13_1801,FatFace,2020.1.2,None,
